nbr_destinations	1000

coordinates:
	
309	470
194	349
362	356
455	416
398	30
134	375
431	322
189	415
314	55
53	415
6	187
470	365
118	315
483	449
426	171
461	60
146	165
210	136
449	291
447	71
40	482
63	465
66	62
326	373
251	207
110	436
353	374
249	280
77	186
325	52
427	474
83	136
44	372
217	269
265	463
335	351
152	382
292	183
280	466
418	16
423	59
229	70
136	406
468	171
227	321
7	313
472	220
317	372
187	460
198	37
346	259
149	129
130	261
231	441
401	270
279	366
398	484
79	44
254	307
69	452
489	303
96	380
349	399
466	456
483	305
98	319
246	122
255	135
58	76
91	342
484	329
354	110
128	64
115	272
499	136
449	276
412	337
148	197
295	188
208	149
360	25
287	72
278	456
198	147
424	133
172	255
358	81
151	160
453	463
329	432
200	371
448	376
146	426
256	303
170	287
409	17
434	294
404	420
169	264
301	155
52	215
151	492
426	264
197	68
37	443
126	168
321	490
466	215
461	339
346	363
437	380
10	390
21	96
309	50
376	468
198	337
2	159
419	480
445	324
266	166
412	83
481	445
65	211
6	33
111	327
444	0
100	183
214	351
169	394
206	312
6	330
215	360
426	240
260	176
2	15
284	291
454	300
302	423
360	220
69	14
10	18
90	252
240	371
59	268
387	344
328	239
397	99
189	468
392	463
78	483
194	302
108	245
23	88
169	30
311	22
303	122
196	65
274	456
117	42
271	197
93	247
442	362
429	260
248	186
480	403
278	230
429	497
130	482
276	319
495	313
494	470
96	230
367	75
370	283
206	402
63	338
156	154
252	287
267	51
464	72
474	100
379	97
38	152
61	57
195	44
7	193
236	458
60	264
2	301
445	211
268	53
215	200
320	274
459	286
242	453
308	156
346	415
46	155
425	139
330	190
297	263
137	29
22	311
230	130
380	90
52	241
346	33
351	222
50	474
486	37
123	418
110	29
169	79
145	270
151	74
377	233
203	112
194	351
267	328
455	19
479	58
14	264
189	275
42	367
376	378
109	262
410	493
292	191
373	157
166	327
424	188
42	259
287	241
69	396
220	375
167	235
382	82
391	457
212	415
105	453
312	211
477	69
238	232
410	246
459	52
424	409
7	103
57	18
330	215
358	119
84	223
378	410
37	305
479	40
32	249
40	55
300	196
416	136
144	434
494	66
67	36
184	490
112	377
353	136
173	380
277	202
416	103
115	84
268	208
191	113
132	273
495	322
13	57
192	340
435	286
306	364
314	10
140	211
132	224
83	4
50	75
399	482
448	441
287	122
278	42
229	431
65	51
430	140
260	387
289	160
275	138
27	250
250	485
394	495
467	202
87	262
87	269
255	442
274	459
22	455
81	495
240	150
62	55
416	7
143	62
141	46
490	460
413	222
181	358
286	475
44	20
221	94
78	497
245	463
437	379
48	347
44	408
249	380
368	317
266	326
40	357
270	267
261	93
204	3
489	144
50	379
28	466
260	200
173	11
449	329
195	207
49	394
271	216
290	107
295	328
112	240
29	240
79	235
110	54
271	73
231	23
156	314
34	352
38	177
194	496
